,Image,F1,Jaccard,Recall,Precision
0,833.png,0.9237668161434978,0.8583333333333333,0.9066901408450704,0.9414990859232175
1,2069.png,0.7727085902178381,0.6296048225050235,1.0,0.6296048225050235
2,3038.png,0.8585944115156647,0.7522255192878339,0.7897196261682243,0.9406307977736549
3,1169.png,0.953020134228188,0.9102564102564102,0.9181034482758621,0.9906976744186047
4,501.png,0.9593373493975904,0.9218523878437048,0.9381443298969072,0.9815100154083205
5,31.png,0.9624542124542125,0.9276257722859664,0.9309123117803366,0.9962085308056872
6,2242.png,0.8953722334004024,0.8105646630236795,0.8578313253012049,0.9363492898474487
7,1014.png,0.918918918918919,0.85,0.857566765578635,0.9897260273972602
8,1322.png,0.9230769230769229,0.8571428571428571,0.9206349206349206,0.925531914893617
9,1779.png,0.9045161290322582,0.8256772673733804,0.9199475065616798,0.8895939086294417
10,1217.png,0.9344262295081966,0.8769230769230769,0.9134615384615384,0.9563758389261745
11,1956.png,0.8517773306505702,0.741822429906542,0.741822429906542,1.0
12,108.png,0.9638848218643241,0.9302873292510598,0.9329239489844119,0.9969712266532055
13,1258.png,0.9627118644067796,0.9281045751633987,0.9659863945578231,0.9594594594594594
14,571.png,0.9746835443037974,0.9506172839506173,0.9577114427860697,0.9922680412371134
15,1888.png,0.558303886925795,0.3872549019607843,0.6732954545454546,0.4768611670020121
16,35.png,0.9392712550607287,0.8854961832061069,0.943089430894309,0.9354838709677419
17,2162.png,0.9570365872172462,0.9176128093158661,0.9560206248104337,0.9580547112462006
18,2582.png,0.9492151431209603,0.9033391915641477,0.991321118611379,0.9105403011514615
19,1279.png,0.0,0.0,0.0,0.0
20,749.png,0.889994668562289,0.8017931476144733,0.9305091044221478,0.8528610354223434
21,2122.png,0.0009818360333824251,0.0004911591355599214,0.0006230529595015577,0.0023148148148148147
22,2928.png,0.9073792894017613,0.830461367426348,0.9449715370018975,0.8726635514018691
23,74.png,0.9794862317501387,0.9597971749366172,0.9891750653228817,0.9699853587115667
24,788.png,0.9306021104903787,0.8702112839563502,0.8875207198673929,0.9780793319415448
25,707.png,0.974646623289208,0.9505470459518599,0.9705093833780161,0.9788192879675529
26,1678.png,0.9643564356435644,0.9311663479923518,0.960552268244576,0.9681908548707754
27,909.png,0.9001565699144888,0.8184406482698204,0.8200570550800965,0.9975974372664175
28,218.png,0.875,0.7777777777777778,0.9705882352941176,0.7965517241379311
29,2046.png,0.913775334936448,0.8412397216951296,0.9540889526542324,0.8767303889255109
30,3.png,0.9648826291079813,0.9321480406386067,0.9687028657616893,0.9610924055368499
31,1270.png,0.5808580858085809,0.40930232558139534,0.8301886792452831,0.4467005076142132
32,573.png,0.9530201342281879,0.9102564102564102,0.9726027397260274,0.9342105263157895
33,861.png,0.5563575791227096,0.3853846153846154,0.3863504916136495,0.993554784333168
34,2463.png,0.30366056572379363,0.179009318293281,1.0,0.179009318293281
35,1326.png,0.8751714677640603,0.7780487804878049,0.7837837837837838,0.9906832298136646
36,528.png,0.9678638941398866,0.9377289377289377,0.9948186528497409,0.9423312883435583
37,461.png,0.8950276243093923,0.81,0.9257142857142857,0.8663101604278075
38,803.png,0.7048522437066764,0.5442253521126761,0.5613015688553167,0.9470588235294117
39,1392.png,0.9620938628158846,0.9269565217391305,0.9673321234119783,0.9569120287253142
40,298.png,0.9492753623188406,0.903448275862069,0.966789667896679,0.9323843416370107
41,3005.png,0.7671232876712328,0.6222222222222222,0.986784140969163,0.6274509803921569
42,1239.png,0.9340232858990944,0.8762135922330098,0.9209183673469388,0.94750656167979
43,2839.png,0.0,0.0,0.0,0.0
44,2605.png,0.7488721804511278,0.5985576923076923,0.9914675767918089,0.6016568864342423
45,1529.png,0.9244604316546762,0.8595317725752508,0.9771863117870723,0.8771331058020477
46,574.png,0.9528455284552845,0.9099378881987578,0.9974468085106383,0.9120622568093385
47,2574.png,0.9474734042553191,0.9001895135818067,0.979381443298969,0.9175788795878944
48,1702.png,0.9003690036900369,0.8187919463087249,0.991869918699187,0.8243243243243243
49,1732.png,0.9293909973521624,0.8680956306677658,0.9878048780487805,0.8775
50,1266.png,0.8571428571428572,0.75,0.7682926829268293,0.9692307692307692
51,1808.png,0.7154772937905468,0.556998556998557,1.0,0.556998556998557
52,1085.png,0.7615384615384616,0.6149068322981367,0.6213389121338913,0.9834437086092715
53,653.png,0.9802095459837019,0.9611872146118722,0.9734104046242774,0.9871043376318874
54,2791.png,0.5304372677907974,0.3609490470633995,0.3613707165109034,0.9967776584317938
55,1187.png,0.9584,0.9201228878648233,0.9258114374034003,0.9933665008291874
56,2744.png,0.8851282051282051,0.7939282428702852,0.8933747412008282,0.8770325203252033
57,1023.png,0.8981536628945802,0.8151351351351351,0.8186753528773073,0.9947229551451188
58,1667.png,0.9555555555555556,0.9148936170212766,0.940625,0.9709677419354839
59,904.png,0.9559357179885951,0.9155908639523337,0.9989165763813651,0.9165009940357853
60,701.png,0.9576519916142557,0.918744971842317,0.9337694194603434,0.9827882960413081
61,381.png,0.9121212121212121,0.8384401114206128,0.9647435897435898,0.8649425287356322
62,478.png,0.0,0.0,0.0,0.0
63,1354.png,0.9517757009345794,0.9079885877318117,0.9747320061255743,0.9298758217677137
64,2701.png,0.9651844191658049,0.9327115256495669,0.9389671361502347,0.9929078014184397
65,1689.png,0.910384068278805,0.835509138381201,0.9425625920471281,0.8803301237964236
66,2672.png,0.7316239316239316,0.5768194070080862,0.5783783783783784,0.9953488372093023
67,2524.png,0.5701006971340047,0.39869989165763814,0.6548042704626335,0.50480109739369
68,2026.png,0.0,0.0,0.0,0.0
69,2356.png,0.907202216066482,0.8301647655259823,0.9360485887817077,0.8800806180718844
70,527.png,0.9438202247191011,0.8936170212765957,0.9960474308300395,0.896797153024911
71,1142.png,0.8891687657430731,0.800453514739229,0.9971751412429378,0.8022727272727272
72,1562.png,0.7166666666666667,0.5584415584415584,0.9933993399339934,0.5605214152700186
73,1668.png,0.9454061251664447,0.8964646464646465,0.9342105263157895,0.9568733153638814
74,1837.png,0.9658421672555947,0.9339407744874715,0.98676293622142,0.9457900807381776
75,294.png,0.9552669552669553,0.914364640883978,0.9232914923291492,0.9895366218236173
76,2157.png,0.0,0.0,0.0,0.0
77,2528.png,0.8893194478081861,0.8006977758395115,0.9719428268925357,0.8196428571428571
78,2527.png,0.7912223133716161,0.654563963352562,0.654786150712831,0.9994818652849741
79,2075.png,0.7986947791164659,0.6648558295027163,0.722360953461975,0.8930676396295257
80,2322.png,0.7663280116110306,0.6211764705882353,0.6211764705882353,1.0
81,3034.png,0.8644316815814078,0.761232651140908,0.7623085983510012,0.9981492905613819
82,1851.png,0.8336025848142165,0.7146814404432132,0.7794561933534743,0.8958333333333334
83,676.png,0.9596518987341771,0.9224334600760457,0.9273700305810397,0.9942622950819672
84,1818.png,0.9065520945220193,0.8290766208251473,0.9791183294663574,0.844
85,2906.png,0.0,0.0,0.0,0.0
86,1840.png,0.8489208633093525,0.7375,0.9957805907172996,0.7398119122257053
87,560.png,0.7081632653061224,0.5481832543443917,0.5642276422764227,0.9506849315068493
88,1337.png,0.9255213505461767,0.8613678373382625,0.9872881355932204,0.8710280373831776
89,1384.png,0.8575096277278561,0.750561797752809,0.9852507374631269,0.759090909090909
90,2936.png,0.9248847926267281,0.8602657522503214,0.9189560439560439,0.9308905380333952
91,1579.png,0.9508196721311475,0.90625,0.9697452229299363,0.9326186830015314
92,678.png,0.9595838335334135,0.9223076923076923,0.9359875097580016,0.9844006568144499
93,555.png,0.9621928166351607,0.9271402550091075,0.9640151515151515,0.960377358490566
94,1885.png,0.6064516129032258,0.4351851851851852,1.0,0.4351851851851852
95,2471.png,0.5332512315270935,0.3635600335852225,1.0,0.3635600335852225
96,1769.png,0.9781704781704782,0.9572736520854527,0.9751295336787564,0.9812304483837331
97,1720.png,0.8571428571428571,0.75,0.7704918032786885,0.9657534246575342
98,2465.png,0.754671488848704,0.6060019361084221,0.9976095617529881,0.6068831798351915
99,2255.png,0.5126973232669869,0.3447161975080757,0.3464749536178108,0.9854881266490765
100,1960.png,0.24982554082344732,0.14274322169059012,0.14447134786117838,0.9226804123711341
101,21.png,0.9603174603174603,0.9236641221374046,0.9877551020408163,0.9343629343629344
102,26.png,0.915,0.8433179723502304,0.9891891891891892,0.8511627906976744
103,2405.png,0.9221330816422841,0.8555166374781086,0.8971533516988063,0.9485436893203884
104,335.png,0.9048207663782447,0.8261851015801355,0.8375286041189931,0.9838709677419355
105,893.png,0.9431072210065645,0.8923395445134575,0.9599109131403119,0.9268817204301075
106,2606.png,0.8334509527170078,0.7144585601935874,0.7310430207366141,0.969224456298728
107,11.png,0.9701636188642925,0.9420560747663551,0.980544747081712,0.96
108,2980.png,0.9585492227979273,0.9203980099502488,0.9273182957393483,0.9919571045576407
109,3011.png,0.20270270270270271,0.11278195488721804,0.11278195488721804,1.0
110,717.png,0.7089054531188702,0.5490732300212702,0.5572001233425841,0.9741239892183289
111,277.png,0.9806853582554517,0.9621026894865525,0.9924337957124842,0.9692118226600985
