epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.15287546813488007,0.8471242785453796,1e-04,0.0254669226706028,0.9745847582817078
1,0.2999609708786011,0.7000389695167542,1e-04,0.19853441417217255,0.80145263671875
2,0.43424704670906067,0.5657529234886169,1e-04,0.3200041949748993,0.6796759366989136
3,0.5483080148696899,0.4516919255256653,1e-04,0.5194895267486572,0.4814015328884125
4,0.6302874088287354,0.3697127103805542,1e-04,0.5975953340530396,0.4012986719608307
5,0.6820867657661438,0.31791311502456665,1e-04,0.6371270418167114,0.36319032311439514
6,0.7075701355934143,0.2924298346042633,1e-04,0.6342074871063232,0.36359700560569763
7,0.7257949113845825,0.27420517802238464,1e-04,0.6879003643989563,0.31198999285697937
8,0.7538517713546753,0.24614809453487396,1e-04,0.6888002753257751,0.311553418636322
9,0.77452152967453,0.22547821700572968,1e-04,0.7103268504142761,0.2893421947956085
10,0.7930724024772644,0.20692726969718933,1e-04,0.7315404415130615,0.2682814598083496
11,0.8001354336738586,0.19986467063426971,1e-04,0.7365938425064087,0.2630934715270996
12,0.818043053150177,0.18195679783821106,1e-04,0.7141385674476624,0.2860221564769745
13,0.8206325769424438,0.17936742305755615,1e-04,0.7670806646347046,0.2322969138622284
14,0.8315222263336182,0.16847757995128632,1e-04,0.7182475328445435,0.28099524974823
15,0.834983766078949,0.16501611471176147,1e-04,0.7697120904922485,0.2299884408712387
16,0.8423437476158142,0.15765638649463654,1e-04,0.7410383224487305,0.25870704650878906
17,0.831542432308197,0.16845747828483582,1e-04,0.7644331455230713,0.23493389785289764
18,0.8469998836517334,0.15300007164478302,1e-04,0.7631756067276001,0.23661066591739655
19,0.8571056127548218,0.14289438724517822,1e-04,0.7693315744400024,0.23037685453891754
20,0.8665082454681396,0.133492112159729,1e-04,0.7949845194816589,0.2044982612133026
21,0.8697818517684937,0.1302180141210556,1e-04,0.7592719197273254,0.24019275605678558
22,0.860670268535614,0.13933014869689941,1e-04,0.7870802283287048,0.21336179971694946
23,0.8731815218925476,0.12681841850280762,1e-04,0.7848284244537354,0.21484731137752533
24,0.8846731185913086,0.11532696336507797,1e-04,0.7997768521308899,0.19975771009922028
25,0.8801625967025757,0.11983755975961685,1e-04,0.7699945569038391,0.2292892038822174
26,0.8641766905784607,0.13582323491573334,1e-04,0.7745365500450134,0.2251938283443451
27,0.8772804737091064,0.12271978706121445,1e-04,0.8029309511184692,0.19653105735778809
28,0.892899751663208,0.10710009932518005,1e-04,0.7932483553886414,0.2063511162996292
29,0.8996880650520325,0.10031169652938843,1e-04,0.8000558614730835,0.19952496886253357
30,0.9030535221099854,0.09694625437259674,1e-04,0.7904477715492249,0.20909976959228516
31,0.9050208926200867,0.09497915208339691,1e-04,0.8134397864341736,0.1858791708946228
32,0.9064595699310303,0.09354058653116226,1e-04,0.8137162327766418,0.18573667109012604
33,0.9099656343460083,0.09003420919179916,1e-04,0.8018486499786377,0.19758197665214539
34,0.8874953985214233,0.11250462383031845,1e-04,0.7499217987060547,0.2496565729379654
35,0.8584606051445007,0.14153921604156494,1e-04,0.7976998090744019,0.2021845430135727
36,0.9016048312187195,0.0983952134847641,1e-04,0.788125216960907,0.21148733794689178
37,0.9116762280464172,0.08832354098558426,1e-04,0.8062288761138916,0.19350165128707886
38,0.9198837876319885,0.08011604845523834,1e-05,0.8174781799316406,0.1820475161075592
39,0.9235277771949768,0.07647228986024857,1e-05,0.8179246783256531,0.18161313235759735
40,0.9253429174423218,0.07465749233961105,1e-05,0.8181529641151428,0.18136990070343018
41,0.9269373416900635,0.07306292653083801,1e-05,0.8179336786270142,0.181598961353302
42,0.9282643795013428,0.0717359110713005,1e-05,0.8177622556686401,0.18176794052124023
43,0.9295285940170288,0.07047116756439209,1e-05,0.8177740573883057,0.1817554384469986
44,0.9306744933128357,0.06932556629180908,1e-05,0.8180974721908569,0.18142108619213104
45,0.9317396283149719,0.06826038658618927,1e-05,0.817531406879425,0.18200244009494781
46,0.932711660861969,0.06728846579790115,1e-06,0.8170666694641113,0.1824512779712677
47,0.9331639409065247,0.06683612614870071,1e-06,0.8170595765113831,0.18245533108711243
48,0.9334011077880859,0.06659895926713943,1e-06,0.8169680237770081,0.18254581093788147
49,0.9336116909980774,0.06638804078102112,1e-06,0.8168932199478149,0.18262040615081787
50,0.9338124394416809,0.06618744879961014,1e-06,0.8168402910232544,0.18267345428466797
51,0.9340403079986572,0.06596025079488754,1e-07,0.816729724407196,0.18278293311595917
52,0.934080183506012,0.06591928005218506,1e-07,0.8166345357894897,0.18287773430347443
53,0.9341089129447937,0.0658908560872078,1e-07,0.8165804743766785,0.18293124437332153
54,0.9341344237327576,0.06586525589227676,1e-07,0.8165501952171326,0.1829613447189331
55,0.934159517288208,0.06584066152572632,1e-07,0.8165346384048462,0.18297673761844635
56,0.9341837167739868,0.06581632047891617,1e-07,0.8165261149406433,0.1829853653907776
57,0.934207558631897,0.06579213589429855,1e-07,0.8165198564529419,0.18299150466918945
58,0.9342316389083862,0.06576792895793915,1e-07,0.8165162801742554,0.18299493193626404
59,0.9342557787895203,0.06574396789073944,1e-07,0.81651371717453,0.18299773335456848
60,0.9342801570892334,0.06571986526250839,1e-07,0.8165092468261719,0.18300189077854156
